sensor_name,date_ini,date_end,n_recordings,duration,time_diff,sample_length,sample_rate
MC-031,2024-02-17 09:30:00,2024-02-19 11:00:00,100,2 days 01:30:00,0 days 00:30:00,60.0,48000
MC-037,2024-02-19 10:30:00,2024-02-21 12:00:00,100,2 days 01:30:00,0 days 00:30:00,60.0,48000
